distance_km,traffic_hours,vehicle_avg_speed,vehicle_type,road_condition,weather_condition,actual_time_minutes,route_from,route_to,road_type
248.88,6.6,46.06,microbus,excellent,fog,369.39,Kathmandu,Bhairahawa,highway
210.35,3.83,66.23,motorcycle,good,clear,192.03,Kathmandu,Pokhara,highway
13.2,16.9,28.23,car,fair,fog,86.24,Kathmandu,Bhaktapur,city
29.85,9.1,34.89,jeep,good,rain,161.27,Kathmandu,Nagarkot,hill
27.84,17.87,21.18,scooter,fair,clear,171.09,Kathmandu,Dhulikhel,hill
37.53,0.28,43.08,jeep,poor,cloudy,99.51,Biratnagar,Dharan,terai
22.48,3.67,36.78,truck,poor,fog,88.94,Bhairahawa,Butwal,terai
36.86,3.08,75.54,motorcycle,good,rain,45.88,Biratnagar,Dharan,terai
37.98,13.29,20.58,scooter,excellent,clear,180.89,Dharan,Dhankuta,hill
14.56,9.86,22.19,truck,fair,clear,84.53,Pokhara,Lekhnath,city
32.19,15.64,46.13,scooter,poor,clear,84.04,Biratnagar,Dharan,terai
36.13,11.68,44.56,microbus,poor,cloudy,81.04,Biratnagar,Dharan,terai
6.47,21.36,22.59,microbus,excellent,clear,16.17,Kathmandu,Patan,city
8.19,13.51,16.47,car,good,clear,55.14,Biratnagar,Itahari,city
299.14,3.22,76.69,car,fair,clear,274.82,Kathmandu,Bhairahawa,highway
138.7,6.28,56.93,jeep,fair,clear,180.27,Kathmandu,Birgunj,highway
12.25,5.99,22.07,car,fair,dust,52.38,Kathmandu,Bhaktapur,city
30.51,18.89,32.65,car,excellent,cloudy,109.57,Kathmandu,Nagarkot,hill
33.82,0.66,39.57,bus,poor,clear,78.76,Biratnagar,Dharan,terai
34.05,1.68,69.86,jeep,fair,rain,64.73,Dharan,Biratnagar,highway
12.76,20.0,24.59,bus,good,cloudy,42.86,Pokhara,Sarangkot,hill
33.11,5.39,23.76,microbus,excellent,rain,207.85,Kathmandu,Nagarkot,hill
29.93,22.98,24.0,scooter,fair,clear,162.46,Kathmandu,Nagarkot,hill
64.35,18.04,45.71,truck,fair,cloudy,132.42,Birgunj,Hetauda,terai
42.36,9.97,35.41,microbus,good,dust,156.01,Dharan,Dhankuta,hill
61.35,10.46,54.72,car,fair,rain,142.06,Birgunj,Hetauda,terai
39.58,7.84,31.94,truck,good,cloudy,187.18,Dharan,Dhankuta,hill
278.52,5.23,51.92,jeep,good,cloudy,382.85,Kathmandu,Bhairahawa,highway
29.45,18.53,29.01,truck,fair,cloudy,138.41,Kathmandu,Nagarkot,hill
